NOMBRE OK,PLAZAS,CAT,MUNICIPIO,URL
EXPO HOTEL - VALENCIA,754,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/expo-hotel-valencia
VILLACARLOS,96,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/villacarlos
CATALONIA EXCELSIOR,161,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/catalonia-excelsior
SOROLLA CENTRO,110,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/sorolla-centro
MEDITERRÁNEO,62,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/mediterraneo
ILUNION VALENCIA 3,313,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ibis-palacio-de-congresos
ILUNION AQUA 3,265,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/confortel-aqua-3
MALCOM AND BARRET,276,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/sh-abashiri
AD HOC MONUMENTAL,51,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ad-hoc
PETIT PALACE BRISTOL,72,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/petit-palace-bristol
KRAMER,138,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/kris-abadia
BB VALENCIA CIUDAD DE LAS CIENCIAS,179,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/express-holiday-inn-valencia-san-luis
PETIT PALACE GERMANIAS,66,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/petit-palace-germanias
VILLARREAL,33,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/villarreal
JARDIN BOTANICO,32,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/chill-art-jardin-botanico
NH LAS CIENCIAS,203,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/express-las-artes
EL COSO DEL MAR,28,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/el-coso-del-mar
HOLIDAY INN EXPRESS CIUDAD DE LAS CIENCIAS,200,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/holiday-inn-express-ciudad-de-las-ciencias
SH INGLES.,122,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/hoteles/sh-ingles
GABBANA BEACH,22,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/gabbana-beach
BALANDRET,42,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/balandret
SAN LORENZO BOUTIQUE,83,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/san-lorenzo-boutique
EL SIGLO,18,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/valencia/hoteles/el-siglo
ONE SHOT COLON 46,88,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/one-shot-46
PLAZA DEL MERCADO,77,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/plaza-del-mercado
UNIVERSIDADES,126,3 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/universidades-vs
VENECIA,104,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/venecia
CONTINENTAL,75,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/continental
ON DORMIRE VALENCIA,14,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/dormire-valencia
FLORIDA,71,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/florida
PATILLA,49,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/patilla
CHICOTE,35,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/chicote
SOL PLAYA,56,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/sol-playa
MIRAMAR,34,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/miramar
CASUAL VALENCIA DEL CINE,66,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/casual-hotel-valencia
AD HOC CARMEN,58,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ad-hoc-carmen
CASUAL VALENCIA VINTAGE,143,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/casual-valencia-vintage
SOHOTEL VALENCIA,66,2 estrellas,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/sohotel-valencia
BISBAL,19,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/bisbal
ABASTOS,29,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/abastos
ALKAZAR,30,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/alkazar
EUROPA,89,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/europa
VALENCIA FLATS ROOMS,63,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/rooms-deluxe
VILLARREAL II,15,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/villarreal-ii
ANDRES,52,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/andres
LA BARRACA,54,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/la-barraca
PENALTY,48,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/penalty
DORMA VALENCIA HOSTAL,28,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/dorma-valencia-hostal
BLAYET,54,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/blayet
CASUAL VALENCIA DE LAS CIVILIZACIONES,26,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/casual-hostal
DING DONG PALACETE,42,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ding-dong-palacete
EL GLOBO,36,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/el-globo
ANTIGUA MORELLANA,36,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/antigua-morellana
DING DONG NUNS,29,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ding-dong-nuns
DING DONG TELAS,26,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/ding-dong-telas
RESIDENCIAL RR,21,1 estrella,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/residencial-rr
UNIVERSAL,53,Pension,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/universal
JERO,30,Pension,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/jero
BARCELONA,13,Pension,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/barcelona
TERMINUS,46,Pension,Valencia,http://comunitatvalenciana.com/viaje/alojamiento/ciudad-de-valencia/valencia/hoteles/terminus
